025-06-07 10:54:40,284 - werkzeug - INFO -  * Restarting with stat
2025-06-07 10:54:40,590 - werkzeug - WARNING -  * Debugger is active!
2025-06-07 10:54:40,599 - werkzeug - INFO -  * Debugger PIN: 134-909-969
2025-06-07 10:54:40,644 - werkzeug - INFO -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2025-06-07 10:55:20,619 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 10:55:20] "[33mGET /admin HTTP/1.1[0m" 404 -
2025-06-07 10:55:20,789 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 10:55:20] "[33mGET /admin HTTP/1.1[0m" 404 -
2025-06-07 10:55:20,907 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 10:55:20] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-06-07 10:55:22,278 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 10:55:22] "[33mGET /admin HTTP/1.1[0m" 404 -
2025-06-07 10:55:22,305 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 10:55:22] "[33mGET /admin HTTP/1.1[0m" 404 -
2025-06-07 10:55:27,202 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 10:55:27] "[32mGET / HTTP/1.1[0m" 302 -
2025-06-07 10:55:27,229 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 10:55:27] "GET /login HTTP/1.1" 200 -
2025-06-07 10:55:27,348 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 10:55:27] "GET /static/css/main.css HTTP/1.1" 200 -
2025-06-07 10:55:27,349 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 10:55:27] "GET /static/js/main.js HTTP/1.1" 200 -
2025-06-07 10:55:27,431 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 10:55:27] "GET /login HTTP/1.1" 200 -
2025-06-07 10:55:30,576 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 10:55:30] "GET /login HTTP/1.1" 200 -
2025-06-07 10:55:30,593 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 10:55:30] "GET /static/css/main.css HTTP/1.1" 200 -
2025-06-07 10:55:30,602 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 10:55:30] "GET /static/js/main.js HTTP/1.1" 200 -
2025-06-07 10:55:30,610 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 10:55:30] "GET /login HTTP/1.1" 200 -
2025-06-07 10:55:30,672 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 10:55:30] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-06-07 11:56:29,467 - werkzeug - INFO -  * Restarting with stat
2025-06-07 11:56:29,946 - werkzeug - WARNING -  * Debugger is active!
2025-06-07 11:56:29,955 - werkzeug - INFO -  * Debugger PIN: 134-909-969
2025-06-07 11:56:29,995 - werkzeug - INFO -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2025-06-07 11:56:47,531 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:56:47] "GET /login HTTP/1.1" 200 -
2025-06-07 11:56:47,746 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:56:47] "GET /static/css/main.css HTTP/1.1" 200 -
2025-06-07 11:56:47,747 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:56:47] "GET /static/js/main.js HTTP/1.1" 200 -
2025-06-07 11:56:47,946 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:56:47] "GET /login HTTP/1.1" 200 -
2025-06-07 11:56:48,010 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:56:48] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-06-07 11:56:50,703 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:56:50] "[32mGET / HTTP/1.1[0m" 302 -
2025-06-07 11:56:50,711 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:56:50] "GET /login HTTP/1.1" 200 -
2025-06-07 11:56:50,739 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:56:50] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
2025-06-07 11:56:50,740 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:56:50] "[36mGET /static/js/main.js HTTP/1.1[0m" 304 -
2025-06-07 11:56:50,775 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:56:50] "GET /login HTTP/1.1" 200 -
2025-06-07 11:56:52,642 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:56:52] "[32mGET / HTTP/1.1[0m" 302 -
2025-06-07 11:56:52,652 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:56:52] "GET /login HTTP/1.1" 200 -
2025-06-07 11:56:52,686 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:56:52] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
2025-06-07 11:56:52,688 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:56:52] "[36mGET /static/js/main.js HTTP/1.1[0m" 304 -
2025-06-07 11:56:52,698 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:56:52] "GET /login HTTP/1.1" 200 -
2025-06-07 11:57:04,324 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:57:04] "[35m[1mPOST /login HTTP/1.1[0m" 500 -
2025-06-07 11:57:04,346 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:57:04] "GET /login?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
2025-06-07 11:57:04,347 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:57:04] "GET /login?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
2025-06-07 11:57:04,410 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:57:04] "GET /login?__debugger__=yes&cmd=resource&f=ubuntu.ttf HTTP/1.1" 200 -
2025-06-07 11:57:04,412 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:57:04] "GET /login HTTP/1.1" 200 -
2025-06-07 11:57:04,413 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:57:04] "GET /login?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
2025-06-07 11:57:04,480 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:57:04] "GET /login?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
2025-06-07 11:57:07,742 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:57:07] "GET /login HTTP/1.1" 200 -
2025-06-07 11:57:17,308 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:57:17] "[35m[1mPOST /login HTTP/1.1[0m" 500 -
2025-06-07 11:57:17,331 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:57:17] "GET /login?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
2025-06-07 11:57:17,331 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:57:17] "GET /login?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
2025-06-07 11:57:17,342 - werkzeug - INFO - 127.0.0.1 - - [07/Jun/2025 11:57:17] "GET /login?__debugger__=yes&cmd=resource&f=ubuntu.ttf HTTP/1.1" 200 -
